,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones and I",270829,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,ROXANNE,"Arizona Zervas",235926,https://open.spotify.com/track/1ZPWWSwCkxKfqdp4H0RFCo
3,Circles,"Post Malone",222503,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
4,"Ride It",Regard,200986,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
5,Memories,"Maroon 5",200815,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
6,"Don't Start Now","Dua Lipa",192055,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
7,"hot girl bummer",blackbear,187551,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
8,"Lose You To Love Me","Selena Gomez",184147,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
9,"10,000 Hours (with Justin Bieber)","Dan + Shay",164451,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
10,"HIGHEST IN THE ROOM","Travis Scott",155090,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
11,"Someone You Loved","Lewis Capaldi",144918,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
12,"Rushing Back",Flume,144482,https://open.spotify.com/track/2zoNNEAyPK2OGDfajardlY
13,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",135474,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
14,"Never Seen the Rain","Tones and I",130036,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
15,"Trampoline (with ZAYN)",SHAED,129538,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
16,"One Thing Right",Marshmello,123040,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
17,"Follow God","Kanye West",118415,https://open.spotify.com/track/2QpGZOhTCHHiKmpSO9FW4h
18,"Lose Control",MEDUZA,117004,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
19,"Good as Hell (feat. Ariana Grande) - Remix",Lizzo,113756,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd
20,"Beautiful People (feat. Khalid)","Ed Sheeran",112763,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
21,"Lights Up","Harry Styles",110982,https://open.spotify.com/track/2plLJpUcYPFrl1sW2pMG63
22,Señorita,"Shawn Mendes",110508,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
23,"It's You","Ali Gatie",106740,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
24,Graveyard,Halsey,101683,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
25,"Piece Of Your Heart",MEDUZA,98679,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
26,Liar,"Camila Cabello",96858,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
27,Teeth,"5 Seconds of Summer",95732,https://open.spotify.com/track/26wLOs3ZuHJa2Ihhx6QIE6
28,"How Do You Sleep?","Sam Smith",95307,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
29,"bad guy","Billie Eilish",94131,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
30,"I Don't Care (with Justin Bieber)","Ed Sheeran",93650,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
31,"The Git Up","Blanco Brown",91747,https://open.spotify.com/track/2KKijf6Ett4kmVNJze2roh
32,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",89512,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
33,Castles,"Freya Ridings",85952,https://open.spotify.com/track/5tZWtGT65sMrDVPB5H444n
34,"Catching Feelings (feat. SIX60)","Drax Project",84851,https://open.spotify.com/track/0gCNs3jCCDhObAK0MRghtv
35,Motivation,Normani,84824,https://open.spotify.com/track/0rIAC4PXANcKmitJfoqmVm
36,Trigger,"Major Lazer",82199,https://open.spotify.com/track/0Z26mbSHJ1dkUu7g9DDgif
37,"Truth Hurts",Lizzo,80872,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
38,"Yellow Hearts","Ant Saunders",78873,https://open.spotify.com/track/20JtELGPfOAMq7FpUt8eSM
39,Feelings,Lauv,76300,https://open.spotify.com/track/0y675KDleCZEudjoeL1sQQ
40,"Lonely (with Jonas Brothers)",Diplo,75747,https://open.spotify.com/track/4fwo6czG5nvOQMzhOto1ya
41,Panini,"Lil Nas X",75465,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
42,"Good Thing (with Kehlani)",Zedd,73510,https://open.spotify.com/track/5aUSEPNd3m5xliFK4pn5mU
43,"Look At Her Now","Selena Gomez",73488,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m
44,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",72701,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
45,"Only Human","Jonas Brothers",72455,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
46,"Slide Away","Miley Cyrus",72404,https://open.spotify.com/track/44ADyYoY5liaRa3EOAl4uf
47,"Eastside (with Halsey & Khalid)","benny blanco",71755,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
48,"Goodbyes (Feat. Young Thug)","Post Malone",70852,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
49,Ransom,"Lil Tecca",67269,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
50,July,"Noah Cyrus",66945,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
51,"Make It Right (feat. Lauv)",BTS,65257,https://open.spotify.com/track/314ZkcV7oLWG8yWE7LABvH
52,I.F.L.Y.,Bazzi,60849,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
53,"Higher Love",Kygo,57826,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
54,Lalala,Y2K,57369,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
55,"No Guidance (feat. Drake)","Chris Brown",56966,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
56,"Old Town Road - Remix","Lil Nas X",56583,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
57,Easy,"Camila Cabello",55667,https://open.spotify.com/track/46D0hYb1B7qiU33VtXt21W
58,"Post Malone (feat. RANI)","Sam Feldt",54850,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
59,Youngblood,"5 Seconds of Summer",54336,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
60,Shallow,"Lady Gaga",54048,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
61,"223's (feat. 9lokknine)","YNW Melly",52848,https://open.spotify.com/track/4sjiIpEv617LDXaidKioOI
62,"If I Can't Have You","Shawn Mendes",51997,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
63,"Be Alright","Dean Lewis",51759,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
64,"Good As Hell",Lizzo,51420,https://open.spotify.com/track/3Yh9lZcWyKrK9GjbhuS0hR
65,Sucker,"Jonas Brothers",51350,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
66,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,51345,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0
67,"Nice To Meet Ya","Niall Horan",50411,https://open.spotify.com/track/3cphb8kdsjElYR7r5icK3H
68,"Takeaway (feat. Lennon Stella)","The Chainsmokers",49314,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe
69,Bruises,"Lewis Capaldi",48997,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
70,"Hot (Remix) [feat. Gunna and Travis Scott]","Young Thug",48758,https://open.spotify.com/track/56AMYGJzxBO6p8v0wEe9de
71,"3 Nights","Dominic Fike",48081,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
72,Candy,"Doja Cat",46642,https://open.spotify.com/track/1VJwtWR6z7SpZRwipI12be
73,"Hate Me (with Juice WRLD)","Ellie Goulding",46301,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
74,Happier,Marshmello,46287,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
75,"Say You Won't Let Go","James Arthur",46195,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
76,"Johnny Run Away","Tones and I",46019,https://open.spotify.com/track/0vHmuAr3iAuGBAqMmraa05
77,Choir,"Guy Sebastian",45910,https://open.spotify.com/track/59zWQR2wQnSlkG4xTTwY9d
78,"Money In The Grave (Drake ft. Rick Ross)",Drake,45747,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
79,"Bad To You (with Normani & Nicki Minaj)","Ariana Grande",45578,https://open.spotify.com/track/7vJS1DPc3FzBtqBs8n3mW5
80,"Stuck In A Dream (feat. Gunna)","Lil Mosey",45388,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ
81,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",45185,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
82,Misunderstood,"Youngn Lipz",44842,https://open.spotify.com/track/0aZMdAA6pg0IdH1r9MF5sT
83,"Mr. Brightside","The Killers",44617,https://open.spotify.com/track/7d8GetOsjbxYnlo6Y9e5Kw
84,"Talk (feat. Disclosure)",Khalid,44015,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
85,"Harleys In Hawaii","Katy Perry",43852,https://open.spotify.com/track/5nCthAh3jt4xKuLJAifAaR
86,Lover,"Taylor Swift",42991,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
87,Better,Khalid,42304,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
88,"Without Me",Halsey,41710,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
