,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Surtada - Remix Brega Funk","Dadá Boladão",4767587,https://open.spotify.com/track/5F8ffc8KWKNawllr5WsW0r
2,"Gaiola É o Troco","MC Du Black",4066848,https://open.spotify.com/track/3Uq45ipGutypFPmETfaoaH
3,"Some que ele vem atrás",Anitta,4053084,https://open.spotify.com/track/2qD7VoDYcrAPY0cVEfpsR5
4,"Supera - Ao Vivo","Marília Mendonça",4047123,https://open.spotify.com/track/3GmJxfnUDrIs1iCfKUELFz
5,"Hit Contagiante","Felipe Original",3600154,https://open.spotify.com/track/5dKesZwp6deuhEeW8F1UEi
6,"Chama Ela (feat. Pedro Sampaio)",Lexa,3516109,https://open.spotify.com/track/14kRWkCWBYfQqILflEcpSJ
7,"quando a bad bater - ao vivo","Luan Santana",3494270,https://open.spotify.com/track/5gvrBqNFFEWcxYPt3mamvJ
8,"Cheirosa - Ao Vivo","Jorge & Mateus",3373797,https://open.spotify.com/track/2PWjKmjyTZeDpmOUa3a5da
9,"Contatinho - Ao Vivo Em São Paulo / 2019","Leo Santana",3137987,https://open.spotify.com/track/4RC2nzqaQygxoVQOVv3XlT
10,"Tijolão - Ao Vivo","Jorge & Mateus",3127021,https://open.spotify.com/track/6QwFUcPc5nhsqZuhXUYtV7
11,"Ferida Curada","Zé Neto & Cristiano",3081748,https://open.spotify.com/track/1U3tv41tFRgOfbytpuYQrR
12,"Invocada (Participação especial de Léo Santana) - Ao vivo",Ludmilla,3073849,https://open.spotify.com/track/4k20Ie47EcWtS4wMBn8w8S
13,"Lençol Dobrado","João Gustavo e Murilo",2931202,https://open.spotify.com/track/72xB2J9ZeBl0Rzxq2XmzdY
14,"Sentou e Gostou","MC JottaPê",2893457,https://open.spotify.com/track/6V43u5SCjkfMpxMAXRPifr
15,"Quarta Cadeira - Ao Vivo","Matheus & Kauan",2768999,https://open.spotify.com/track/5q0NlM6Pm8Pp3orq7zGiRn
16,"Quando a vontade bater (Participação especial de PK Delas)",Pk,2700375,https://open.spotify.com/track/26WpOBpHiIMoBuMEIwtOCH
17,"Kenny G",Matuê,2578226,https://open.spotify.com/track/3MkdA6vwF0ifRl86yzTlJW
18,Complicado,Vitão,2548580,https://open.spotify.com/track/52vPpP2gEYaBROIS77J38P
19,"Serenata - Ao Vivo","Marília Mendonça",2410695,https://open.spotify.com/track/5fY9bVl1Wj4PIM3wnduWop
20,"Amor de Que","Pabllo Vittar",2291762,https://open.spotify.com/track/29caulxU0jxucdVIyhSJTc
21,"Quem Traiu Levou - Ao Vivo","Gusttavo Lima",2251978,https://open.spotify.com/track/1owErGXMkNVCgCmCjI1vRL
22,Parabéns,"Pabllo Vittar",2216128,https://open.spotify.com/track/6X0XdIcgwfVa9orJnDMQB0
23,Pupila,ANAVITÓRIA,2188186,https://open.spotify.com/track/7Gk5OrMYaMRtT2JmgJVAfk
24,"Algo Mais (Amante) - Ao Vivo","Xand Avião",2143552,https://open.spotify.com/track/4jGzR5Vri06Y5T9SxM7m5P
25,"Fake News - Ao Vivo","Gustavo Mioto",2114245,https://open.spotify.com/track/1G60NjxeOS7veR1EXuKPaW
26,"Eterna Sacanagem","MC JottaPê",2047980,https://open.spotify.com/track/1AfNdxHdE4OLcnQUyC6j3i
27,"Todo Mundo Vai Sofrer - Ao Vivo","Marília Mendonça",2004409,https://open.spotify.com/track/4E6RdcCWMiHTu7zy1VTNDo
