artist,Tones and I
song_title,Dance Monkey
stream_count,100506
za,za
artist,Selena Gomez
song_title,Lose You To Love Me
stream_count,61377
za,za
artist,Post Malone
song_title,Circles
stream_count,61240
za,za
artist,Maroon 5
song_title,Memories
stream_count,61135
za,za
artist,Ed Sheeran
song_title,Beautiful People (feat. Khalid)
stream_count,49294
za,za
artist,Travis Scott
song_title,HIGHEST IN THE ROOM
stream_count,48528
za,za
artist,Dua Lipa
song_title,Don't Start Now
stream_count,47576
za,za
artist,Lewis Capaldi
song_title,Someone You Loved
stream_count,46871
za,za
artist,Shawn Mendes
song_title,Señorita
stream_count,45572
za,za
artist,Sam Smith
song_title,How Do You Sleep?
stream_count,43372
za,za
artist,blackbear
song_title,hot girl bummer
stream_count,41735
za,za
artist,Ed Sheeran
song_title,I Don't Care (with Justin Bieber)
stream_count,41186
za,za
artist,Samthing Soweto
song_title,Akulaleki
stream_count,39150
za,za
artist,Kanye West
song_title,Follow God
stream_count,38343
za,za
artist,SHAED
song_title,Trampoline (with ZAYN)
stream_count,35792
za,za
artist,The Chainsmokers
song_title,Takeaway (feat. Lennon Stella)
stream_count,35347
za,za
artist,Selena Gomez
song_title,Look At Her Now
stream_count,34207
za,za
artist,Post Malone
song_title,Goodbyes (Feat. Young Thug)
stream_count,32548
za,za
artist,benny blanco
song_title,Eastside (with Halsey & Khalid)
stream_count,31612
za,za
artist,Billie Eilish
song_title,bad guy
stream_count,30760
za,za
artist,Harry Styles
song_title,Lights Up
stream_count,30452
za,za
artist,Regard
song_title,Ride It
stream_count,29516
za,za
artist,Biggy
song_title,Dames
stream_count,28737
za,za
artist,Camila Cabello
song_title,Liar
stream_count,28713
za,za
artist,Lil Nas X
song_title,Panini
stream_count,28653
za,za
artist,Halsey
song_title,Graveyard
stream_count,28279
za,za
artist,Ed Sheeran
song_title,South of the Border (feat. Camila Cabello & Cardi B)
stream_count,28260
za,za
artist,Dan + Shay
song_title,"10,000 Hours (with Justin Bieber)"
stream_count,28127
za,za
artist,Chris Brown
song_title,No Guidance (feat. Drake)
stream_count,28042
za,za
artist,Semi Tee
song_title,Labantwana Ama Uber
stream_count,27778
za,za
artist,Arizona Zervas
song_title,ROXANNE
stream_count,27303
za,za
artist,Lizzo
song_title,Good as Hell (feat. Ariana Grande) - Remix
stream_count,27117
za,za
artist,The Chainsmokers
song_title,Call You Mine
stream_count,25989
za,za
artist,Post Malone
song_title,Sunflower - Spider-Man: Into the Spider-Verse
stream_count,25926
za,za
artist,Juice WRLD
song_title,Bandit (with YoungBoy Never Broke Again)
stream_count,25712
za,za
artist,DJ Maphorisa
song_title,Amantombazane
stream_count,25519
za,za
artist,Kabza De Small
song_title,Nana Thula
stream_count,25192
za,za
artist,MEDUZA
song_title,Lose Control
stream_count,25008
za,za
artist,DJ Maphorisa
song_title,Vula Vala
stream_count,24643
za,za
artist,Young Thug
song_title,Hot (Remix) [feat. Gunna and Travis Scott]
stream_count,24386
za,za
artist,Lil Nas X
song_title,Old Town Road - Remix
stream_count,23606
za,za
artist,Kygo
song_title,Higher Love
stream_count,23232
za,za
artist,MEDUZA
song_title,Piece Of Your Heart
stream_count,23033
za,za
artist,Taylor Swift
song_title,You Need To Calm Down
stream_count,22875
za,za
artist,Lauv
song_title,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”"
stream_count,22583
za,za
artist,DJ Zinhle
song_title,Umlilo
stream_count,21389
za,za
artist,Jobe London
song_title,Sukendleleni
stream_count,21291
