,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"RITMO (Bad Boys For Life)","The Black Eyed Peas",3761001,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
2,"LA CANCIÓN","J Balvin",3353693,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
3,Callaita,"Bad Bunny",3008558,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
4,China,"Anuel AA",2921497,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
5,"No Me Conoce - Remix","Jhay Cortez",2840147,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
6,"Dance Monkey","Tones and I",2715986,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
7,"Pa' Olvidarme De Ella","Piso 21",2589475,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
8,"Adicto (with Anuel AA & Ozuna)",Tainy,2356939,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
9,Tutu,Camilo,2219478,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
10,"Lose You To Love Me","Selena Gomez",2145911,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
11,"Oye Pablo","Danna Paola",2130113,https://open.spotify.com/track/4wJFExEZZo62tmwTM9ENDR
12,"Que Tire Pa Lante","Daddy Yankee",2008860,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
13,"QUE PRETENDES","J Balvin",1910126,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
14,Indeciso,Reik,1885760,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
15,Fantasias,"Rauw Alejandro",1881885,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
16,"Yo x Ti, Tu x Mi",ROSALÍA,1860761,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
17,"11 PM",Maluma,1848322,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
18,Quizas,"Rich Music LTD",1685091,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
19,"Con Altura",ROSALÍA,1678724,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
20,Señorita,"Shawn Mendes",1673126,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
21,"Soltera - Remix",Lunay,1646386,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
22,"No Se Me Quita (feat. Ricky Martin)",Maluma,1631216,https://open.spotify.com/track/1GBLO0NFODuL31A5fgw0uR
23,"Tu Sicaria","Ms Nina",1628474,https://open.spotify.com/track/6fatMybX8VmHUpaxVcXzrz
24,"Amor A Primera Vista","Los Angeles Azules",1585110,https://open.spotify.com/track/1E7RHPXA9sZ30qfms18J7J
25,"Qué Pena",Maluma,1529211,https://open.spotify.com/track/5099x34vBakWpGkHourFxP
26,"Si Te Vas",Sech,1470227,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
27,"Tra Tra Tra Remix","Ghetto Kids",1469903,https://open.spotify.com/track/4YqCBC4FwzGXuhixt5cgmm
28,"Otro Trago",Sech,1450365,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
29,"Me La Avente","Carin Leon",1431266,https://open.spotify.com/track/2QwMXe5zbqymDZGYsMDVqZ
30,Lalala,Y2K,1384280,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
31,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",1382780,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
32,"Don't Start Now","Dua Lipa",1345408,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
33,"Tal Vez","Paulo Londra",1330770,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
34,"Fuentes de Ortiz","Ed Maverick",1316033,https://open.spotify.com/track/0akyEssGRVHstqCSWXusJL
35,"Contando Lunares (feat. Cruz Cafuné)","Don Patricio",1278603,https://open.spotify.com/track/6uW0PIRcyZLvkoonm763xD
36,"Otro Trago - Remix",Sech,1248536,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
37,Chicharrón,Guaynaa,1238578,https://open.spotify.com/track/5UVa8Qqb9L1dVxl3jKQ5J1
38,"Mala Fama","Danna Paola",1212096,https://open.spotify.com/track/2LVWDR1oEthhLIOtT4hHih
39,"Te Vi","Piso 21",1194408,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
40,Desconocidos,"Mau y Ricky",1171211,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h
41,Circles,"Post Malone",1157441,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
42,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",1150351,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
43,"Baila Conmigo (feat. Kelly Ruiz)",Dayvi,1124814,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
44,"Aleman: Bzrp Music Sessions, Vol. 15",Bizarrap,1114919,https://open.spotify.com/track/7xRWmHZ2wt3zDgM5mAL0JU
45,"Look At Her Now","Selena Gomez",1107951,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m
